ID,JHI_DATE,CONVERSIONVALUE,SUELDOMIN
,2011-11-30,9.28,1548.22
,2011-12-01,9.28,1548.22
,2011-12-03,9.24,1548.22
,2011-12-04,9.22,1548.22
,2011-12-05,9.17,1548.22
,2011-12-06,9.12,1548.22
,2011-12-07,9.09,1548.22
,2011-12-08,9.09,1548.22
,2011-12-09,9.09,1548.22
,2011-12-10,9.09,1548.22
,2011-12-11,9.08,1548.22
,2011-12-12,9.04,1548.22
,2011-12-13,9.02,1548.22
,2011-12-14,9.06,1548.22
,2011-12-15,9.02,1548.22
,2011-12-16,9.06,1548.22
,2011-12-17,9.06,1548.22
,2011-12-18,9.06,1548.22
,2011-12-19,9.25,1548.22
,2011-12-20,9.27,1548.22
,2011-12-21,9.27,1548.22
,2011-12-22,9.41,1548.22
,2011-12-23,9.38,1548.22
,2011-12-24,9.38,1548.22
,2011-12-25,9.43,1548.22
,2011-12-26,9.42,1548.22
,2011-12-27,9.42,1548.22
,2011-12-28,9.5,1548.22
,2011-12-29,9.45,1548.22
,2011-12-30,9.45,1548.22
,2011-12-31,9.46,1548.22
,2012-01-01,9.46,1548.22
,2012-01-02,9.46,1548.22
,2012-01-03,9.29,1548.22
,2012-01-04,9.17,1548.22
,2012-01-05,9.21,1548.22
,2012-01-06,9.18,1548.22
,2012-01-07,9.18,1548.22
,2012-01-08,9.19,1548.22
,2012-01-09,9.15,1548.22
,2012-01-10,9.15,1548.22
,2012-01-11,9.11,1548.22
,2012-01-12,8.99,1548.22
,2012-01-13,8.98,1548.22
,2012-01-14,8.99,1548.22
,2012-01-15,8.98,1548.22
,2012-01-16,8.96,1548.22
,2012-01-17,8.97,1548.22
,2012-01-18,8.81,1548.22
,2012-01-19,8.82,1548.22
,2012-01-20,8.82,1548.22
,2012-01-21,8.82,1548.22
,2012-01-22,8.82,1548.22
,2012-01-23,8.67,1548.22
,2012-01-24,8.72,1548.22
,2012-01-25,8.71,1548.22
,2012-01-26,8.71,1548.22
,2012-01-27,8.69,1548.22
